ID_Word	ID_Synset	Synset
42546	37727	breakfast.n.01	# almorzar
41039	37024	accommodation.n.04	# alojamiento
42659	37774	accommodation.n.04	# alojamiento
42718	37802	lease.v.03	# alquilar
41248	37128	tall.a.01	# alta
43071	37974	highly.r.03	# 
41147	37082	option.n.02	# alternativa
41448	None	None	# 
40983	37000	tall.a.01	# alto
43477	38164	tall.a.01	# alto
41452	37228	morning.n.01	# 
41571	37277	kindness.n.01	# amabilidad
42561	37733	kindness.n.01	# amabilidad
42643	37766	kind.a.01	# amable
41712	37342	environment.n.02	# ambientar
42144	37525	environment.n.02	# ambientar
42769	37827	environment.n.02	# ambientar
43104	37989	environment.n.02	# ambientar
40964	None	None	# amblar
42140	37523	friendly.a.01	# amigable
42765	None	None	# 
43449	None	None	# 
42813	37846	hindquarters.n.02	# anca
41526	None	None	# 
42491	None	None	# 
41818	37384	score.v.01	# anotar
41719	37345	once.r.03	# 
42304	37611	once.r.03	# 
42512	37713	once.r.03	# 
42011	37467	anteriorly.r.01	# antes
42542	37725	anteriorly.r.01	# antes
43105	None	None	# 
43357	38109	use.v.01	# aplicar
43041	None	None	# 
42047	37481	here.r.01	# aquí
42222	37568	here.r.01	# aquí
41954	None	None	# 
41686	None	None	# 
41791	None	None	# 
43184	None	None	# 
42910	None	None	# 
42028	None	None	# 
41583	37283	above.r.02	# arriba
43239	38041	elevator.n.01	# ascensor
42362	37642	toilet.n.02	# asear
42427	None	None	# 
42868	None	None	# 
43006	None	None	# 
41295	None	None	# 
40958	36990	watchfulness.n.02	# 
41386	37195	watchfulness.n.02	# 
41589	37286	watchfulness.n.02	# 
41700	37336	watchfulness.n.02	# 
41986	37457	watchfulness.n.02	# 
42021	37470	watchfulness.n.02	# 
42149	37528	watchfulness.n.02	# 
42296	37606	watchfulness.n.02	# 
42371	37645	watchfulness.n.02	# 
42782	37832	watchfulness.n.02	# 
42953	37906	watchfulness.n.02	# 
43336	38096	watchfulness.n.02	# 
40999	37006	care.n.01	# atención
41093	37057	serve.v.10	# atender
42681	37786	serve.v.10	# atender
41229	37119	serve.v.10	# atender
42594	None	None	# 
42640	None	None	# 
42960	37911	accommodating.a.01	# atentar
42884	None	None	# 
42907	37885	bird.n.01	# ave
43226	38035	ad.n.01	# avisar
41047	37029	care.n.01	# ayuda
42045	37480	year.n.01	# año
41303	37154	year.n.01	# año
42181	37547	year.n.01	# año
41912	None	None	# 
42852	None	None	# 
40886	36961	tray.n.01	# bandeja
42018	37469	barroom.n.01	# bar
42746	None	None	# 
43387	38124	abundantly.r.01	# bastante
