ID_Word	ID_Lemma	Lemma
45851	80460	
45902	80511	
46132	80741	
46171	80780	
46306	80915	
46329	80938	
46391	81000	
46406	81015	
46425	81034	
46822	81431	
46996	81605	
47112	81721	
47193	81802	
47372	81981	
47419	82028	
47488	82097	
47552	82161	
47843	82452	
47941	82550	
48007	82616	
48166	82775	
48171	82780	
48238	82847	
48266	82875	
48338	82947	
48448	83057	
48454	83063	
48487	83096	
45687	80296	atender
46345	80954	atender
45761	80370	atender
44677	79286	atender
45701	80310	atender
47923	82532	atender
48198	82807	atender
44581	79190	
46015	80624	
47105	81714	
45179	79788	atentar
45264	79873	atentar
46021	80630	atentar
45563	80172	atentar
46736	81345	atento
47090	81699	atender
47176	81785	atender
45288	79897	atravesar
44667	79276	aumentar
46087	80696	aunque
45555	80164	averiguar
44512	79121	
46469	81078	azul
46953	81562	
45085	79694	baja
45096	79705	baja
45982	80591	bajar
44633	79242	bajar
47320	81929	
46563	81172	
47311	81920	
47413	82022	bastante
44490	79099	bata
44936	79545	
44955	79564	
45135	79744	
45240	79849	
45333	79942	
45921	80530	
46232	80841	
47263	81872	
47355	81964	
48110	82719	
46670	81279	
46768	81377	
47861	82470	beber
46739	81348	
44696	79305	bendición
46542	81151	bendición
47438	82047	bendición
46399	81008	bendecir
46409	81018	bendecir
46211	80820	bendecir
46442	81051	
46706	81315	
46838	81447	
47540	82149	
44235	78844	bien
44263	78872	bien
44297	78906	bien
44389	78998	bien
44410	79019	bien
44469	79078	bien
44472	79081	bien
44507	79116	bien
44550	79159	bien
44716	79325	bien
44720	79329	bien
44973	79582	bien
45119	79728	bien
45194	79803	bien
45522	80131	bien
45703	80312	bien
45740	80349	bien
45756	80365	bien
45760	80369	bien
45997	80606	bien
46056	80665	bien
46633	81242	bien
46638	81247	bien
46728	81337	bien
46764	81373	bien
46794	81403	bien
46832	81441	bien
46861	81470	bien
46875	81484	bien
46909	81518	bien
46952	81561	bien
47065	81674	bien
47136	81745	bien
47142	81751	bien
47145	81754	bien
47191	81800	bien
47336	81945	bien
47346	81955	bien
47406	82015	bien
47538	82147	bien
47622	82231	bien
47674	82283	bien
47841	82450	bien
47955	82564	bien
47991	82600	bien
48051	82660	bien
48260	82869	bien
48262	82871	bien
48484	83093	bien
48354	82963	bienvenida
48356	82965	bienvenida
44491	79100	blanco
45068	79677	
45430	80039	boca
45945	80554	bolsillo
46535	81144	bonito
47378	81987	brindar
47456	82065	brindar
47390	81999	brindar
44325	78934	bueno
44378	78987	bueno
44812	79421	bueno
45409	80018	bueno
45468	80077	bueno
45486	80095	bueno
45811	80420	bueno
45893	80502	bueno
46072	80681	bueno
46083	80692	bueno
46246	80855	bueno
46376	80985	bueno
46415	81024	bueno
47381	81990	bueno
47485	82094	bueno
48032	82641	bueno
48151	82760	bueno
44249	78858	bueno
44403	79012	bueno
44417	79026	bueno
44546	79155	bueno
44702	79311	bueno
45205	79814	bueno
45233	79842	bueno
45502	80111	bueno
45904	80513	bueno
46424	81033	bueno
46821	81430	bueno
47377	81986	bueno
47421	82030	bueno
47508	82117	bueno
47588	82197	bueno
47791	82400	bueno
47846	82455	bueno
47962	82571	bueno
48006	82615	bueno
48177	82786	bueno
48376	82985	bueno
48453	83062	bueno
44362	78971	bueno
44448	79057	bueno
44463	79072	bueno
44692	79301	bueno
45215	79824	bueno
45439	80048	bueno
46144	80753	bueno
46177	80786	bueno
46967	81576	bueno
47830	82439	bueno
48269	82878	bueno
48381	82990	bueno
47465	82074	bueno
47638	82247	bueno
47914	82523	
46939	81548	buscar
47655	82264	
44192	78801	cabellar
45656	80265	cabeza
45959	80568	cabeza
45971	80580	cabeza
46586	81195	cabeza
48324	82933	cabeza
46254	80863	cabina
47935	82544	cabina
44766	79375	cabina
44776	79385	cabina
46320	80929	cabina
48069	82678	cabina
44184	78793	cada
45608	80217	cada
45947	80556	cada
46253	80862	cada
44661	79270	
47247	81856	
47426	82035	
44843	79452	
46659	81268	caja
44175	78784	
44265	78874	
44268	78877	
44761	79370	
44769	79378	
46193	80802	
46544	81153	
46545	81154	
46546	81155	
47160	81769	
47343	81952	
47760	82369	
48000	82609	
48258	82867	
46107	80716	calentador
46121	80730	calentador
47159	81768	calentador
48292	82901	calentador
